customer_id,plan,signup_date,region,tenure_months,monthly_revenue,status,churn
CUS-1153,Basic,2024-03-22,EMEA,21,38.08,Active,No
CUS-3902,Enterprise,2023-02-07,APAC,35,733.42,Active,No
CUS-2360,Basic,2025-04-14,APAC,8,47.53,Active,No
CUS-1773,Pro,2025-02-15,Americas,10,150.0,Active,No
CUS-3679,Pro,2025-04-21,APAC,8,108.14,Active,No
CUS-2002,Basic,2024-03-29,Americas,21,32.86,Active,No
CUS-1719,Pro,2025-11-26,EMEA,1,140.74,Active,No
CUS-1613,Enterprise,2025-01-03,Americas,12,300.0,Active,No
CUS-1843,Basic,2025-02-18,EMEA,10,50.0,Active,No
CUS-1267,Basic,2023-09-09,EMEA,28,25.97,Active,No
CUS-1052,Basic,2023-04-27,EMEA,32,23.57,Active,No
CUS-2196,Basic,2024-09-09,EMEA,15,28.02,Active,No
CUS-2271,Enterprise,2025-12-14,APAC,0,861.11,Active,No
CUS-2492,Pro,2025-08-04,APAC,4,116.85,Churned,Yes
CUS-2583,Basic,2025-08-25,,4,32.31,Active,No
CUS-1522,Basic,2025-08-28,APAC,4,40.18,Churned,Yes
CUS-2695,Pro,2024-04-03,EMEA,21,125.95,Active,No
CUS-3664,Basic,2023-06-27,EMEA,30,29.12,Active,0
CUS-3749,Basic,2025-12-10,APAC,0,46.51,Active,No
CUS-2922,Basic,2023-07-12,APAC,30,50.0,Active,No
CUS-1103,Basic,2025-11-05,EMEA,1,50.0,Active,No
CUS-1696,Basic,2024-05-23,EMEA,19,48.62,Active,No
CUS-3333,Pro,2023-11-11,EMEA,26,150.0,Active,No
CUS-3725,Basic,2025-06-22,EMEA,6,31.79,Active,No
CUS-3273,Pro,2025-07-18,EMEA,5,141.36,Active,No
CUS-3483,Basic,2024-03-04,Americas,22,31.6,Active,No
CUS-2843,Basic,2023-12-06,Americas,25,28.16,Active,No
CUS-2831,Basic,2024-12-26,EMEA,12,31.4,Active,No
CUS-1795,Basic,2024-11-14,EMEA,13,29.9,Active,No
CUS-2821,Enterprise,2025-03-14,EMEA,9,776.22,Active,No
CUS-3002,Basic,2025-02-21,EMEA,10,50.0,Churned,Yes
CUS-1145,Basic,2025-07-14,EMEA,5,25.98,Active,No
CUS-3526,Basic,2025-10-17,APAC,2,50.0,Churned,Yes
CUS-2331,Pro,2023-05-23,APAC,31,94.08,Active,No
CUS-3478,Basic,2024-06-15,Americas,18,47.42,Active,No
CUS-3882,Basic,2023-10-28,EMEA,26,36.26,Active,No
CUS-1322,Basic,2024-06-21,EMEA,18,33.5,Churned,Yes
CUS-2262,Basic,2025-09-21,APAC,3,39.35,Active,No
CUS-3415,Basic,2025-04-02,APAC,9,50.0,Active,No
CUS-2270,Basic,2025-05-25,APAC,7,49.77,Churned,Yes
CUS-2761,Basic,2024-09-30,Americas,15,21.21,Active,No
CUS-1417,Basic,2025-01-29,Americas,11,42.64,Active,No
CUS-3632,Basic,2023-08-06,APAC,29,50.0,Active,No
CUS-3292,Pro,2024-06-22,APAC,18,104.01,Active,No
CUS-1175,Basic,2025-02-04,EMEA,11,35.01,Active,No
CUS-2726,Basic,2024-02-03,Americas,23,24.56,Active,No
CUS-3176,Pro,2023-02-08,APAC,35,135.17,Active,No
CUS-1046,Pro,2025-12-05,APAC,0,83.11,Active,No
CUS-1686,Basic,2023-04-27,Americas,32,32.79,Active,No
CUS-2608,Basic,2023-10-12,EMEA,27,41.47,Active,No
CUS-2232,Pro,2023-02-04,EMEA,35,139.49,Active,No
CUS-1863,Pro,2025-02-17,EMEA,10,118.16,Active,No
CUS-2966,Basic,2023-01-09,APAC,36,36.28,Active,No
CUS-1332,Basic,2023-12-21,EMEA,24,31.94,Active,No
CUS-1094,Basic,2025-11-12,Americas,1,28.04,Active,No
CUS-2642,Basic,2023-01-21,Americas,35,47.67,Active,No
CUS-3987,Basic,2023-02-03,APAC,35,35.13,Active,No
CUS-1507,Basic,2024-08-10,,16,24.12,Active,No
CUS-3910,Pro,2023-06-29,APAC,30,105.76,Active,0
CUS-3046,Basic,2025-12-11,APAC,0,31.03,Churned,Yes
CUS-1496,Basic,2025-06-29,APAC,6,34.39,Active,No
CUS-3133,Enterprise,2023-10-28,,26,474.87,Active,No
CUS-1001,Pro,2025-07-16,EMEA,5,150.0,Active,No
CUS-1315,Basic,2024-01-16,EMEA,23,28.6,Active,No
CUS-2273,Basic,2025-06-15,EMEA,6,36.09,Active,No
CUS-2942,Basic,2023-03-24,Americas,33,35.85,Active,No
CUS-3968,Basic,2024-01-24,APAC,23,50.0,Active,No
CUS-2317,Pro,2025-11-17,Americas,1,150.0,Churned,Yes
CUS-1756,Basic,2024-02-25,APAC,22,27.53,Active,No
CUS-2771,Pro,2025-01-23,APAC,11,150.0,Active,No
CUS-2201,Pro,2023-09-17,APAC,27,150.0,Active,No
CUS-3175,Basic,2023-08-07,EMEA,29,33.3,Active,No
CUS-2992,Pro,2025-08-26,Americas,4,97.6,Active,No
CUS-1880,Pro,2024-05-18,EMEA,19,82.7,Active,No
CUS-1766,Basic,2025-06-20,Americas,6,27.41,Churned,No
CUS-1928,Enterprise,2025-07-09,APAC,5,602.06,Active,No
CUS-3378,Pro,2025-03-06,Americas,10,121.92,Active,No
CUS-2375,Enterprise,2024-12-25,APAC,12,575.4,Active,No
CUS-2815,Pro,2024-05-26,APAC,19,80.0,Active,No
CUS-2799,Pro,2025-07-17,EMEA,5,113.57,Active,No
CUS-1930,Pro,2025-10-18,EMEA,2,126.45,Active,No
CUS-1437,Basic,2024-02-11,APAC,22,50.0,Active,No
CUS-1197,Pro,2024-10-01,APAC,15,106.4,Active,No
CUS-2763,Basic,2025-10-28,EMEA,2,25.56,Active,No
CUS-2065,Basic,2023-05-10,,32,24.71,Active,No
CUS-3343,Pro,2025-08-09,APAC,4,150.0,Active,No
CUS-3529,Pro,2025-11-23,Americas,1,82.04,Churned,Yes
CUS-2269,Basic,2025-06-07,EMEA,6,47.4,Active,No
CUS-3324,Basic,2023-02-13,EMEA,35,33.13,Churned,Yes
CUS-3780,Basic,2023-04-07,Americas,33,21.59,Active,No
CUS-3226,Basic,2024-06-21,Americas,18,43.54,Active,No
CUS-1451,Basic,2025-03-21,EMEA,9,28.97,Active,No
CUS-3165,Enterprise,2025-01-13,APAC,11,890.74,Active,No
CUS-3373,Basic,2023-02-28,EMEA,34,28.53,Active,No
CUS-3013,Basic,2023-09-26,APAC,27,35.98,Active,No
CUS-1271,Basic,2025-11-26,APAC,1,23.37,Churned,Yes
CUS-2841,Basic,2025-09-19,APAC,0,35.88,Churned,Yes
CUS-3935,Pro,2023-12-01,APAC,25,144.92,Active,No
CUS-1979,Basic,2024-08-09,APAC,16,32.16,Active,No
CUS-3167,Enterprise,2024-03-28,Americas,21,485.6,Active,No
CUS-1355,Basic,2024-08-19,APAC,16,21.53,Active,No
CUS-2877,Basic,2023-10-21,Americas,26,30.38,Active,0
CUS-1185,Pro,2023-03-02,APAC,34,150.0,Active,No
CUS-3745,Basic,2025-02-25,APAC,10,36.25,Active,No
CUS-2615,Pro,2024-02-03,EMEA,23,103.1,Active,No
CUS-3760,Basic,2023-03-11,Americas,34,35.39,Active,No
CUS-2707,Basic,2023-04-14,EMEA,33,31.73,Active,0
CUS-2862,Enterprise,2025-09-08,,3,1041.6,Active,No
CUS-1247,Pro,2024-03-06,EMEA,22,105.36,Active,No
CUS-1556,Basic,2025-06-20,EMEA,6,33.62,Active,No
CUS-2753,Enterprise,2024-03-30,EMEA,21,1317.48,Active,No
CUS-2365,Basic,2025-04-15,APAC,8,34.11,Active,No
CUS-1068,Basic,2023-08-01,EMEA,29,47.41,Churned,Yes
CUS-3619,Pro,2024-12-06,EMEA,13,90.73,Active,No
CUS-3285,Basic,2023-09-08,,28,44.6,Active,No
CUS-1533,Basic,2024-07-06,EMEA,18,35.89,Active,No
CUS-3874,Basic,2023-07-03,APAC,30,35.51,Active,No
CUS-3706,Basic,2024-05-30,EMEA,19,38.13,Active,No
CUS-2503,Basic,2025-01-14,EMEA,11,47.59,Active,No
CUS-1762,Basic,2024-02-20,APAC,22,48.07,Churned,Yes
CUS-3753,Pro,2025-05-02,Americas,8,92.0,Active,No
CUS-2212,Pro,2024-03-04,APAC,22,87.94,Active,No
CUS-3244,Basic,2023-12-01,EMEA,25,45.02,Active,No
CUS-2794,Pro,2025-11-28,APAC,1,84.58,Active,No
CUS-1536,Basic,2025-06-25,Americas,6,35.71,Active,No
CUS-2747,Pro,2024-06-04,EMEA,19,82.53,Active,No
CUS-1464,Basic,2024-01-16,EMEA,23,43.68,Churned,Yes
CUS-3678,Pro,2024-11-04,EMEA,14,80.0,Active,No
CUS-2840,Pro,2023-07-19,,29,94.34,Active,No
CUS-3863,Basic,2025-01-18,APAC,11,24.46,Active,No
CUS-1125,Basic,2023-09-09,EMEA,28,29.93,Active,No
CUS-1179,Enterprise,2023-01-02,Americas,36,483.94,Active,No
CUS-1193,Basic,2024-10-14,EMEA,14,45.75,Active,No
CUS-3308,Basic,2024-01-18,APAC,23,25.05,Active,No
CUS-2430,Basic,2023-02-18,APAC,34,29.89,Active,No
CUS-2692,Enterprise,2023-11-03,APAC,26,490.06,Active,No
CUS-1742,Basic,2023-09-27,Americas,27,32.79,Active,No
CUS-2035,Basic,2023-06-28,EMEA,30,22.53,Active,No
CUS-2967,Pro,2024-03-13,APAC,21,97.94,Active,No
CUS-1479,Pro,2025-10-16,Americas,2,90.31,Churned,Yes
CUS-2028,Basic,2025-02-22,EMEA,10,33.33,Active,No
CUS-3602,Pro,2023-03-15,Americas,34,97.26,Active,No
CUS-1369,Basic,2023-06-21,EMEA,30,50.0,Churned,Yes
CUS-3524,Pro,2025-02-24,Americas,10,136.38,Active,No
CUS-1846,Enterprise,2024-09-21,EMEA,15,496.9,Active,No
CUS-1257,Pro,2023-05-30,APAC,31,93.6,Active,No
CUS-2223,Enterprise,2024-02-12,EMEA,22,2000.0,Active,No
CUS-2993,Basic,2025-03-27,Americas,9,28.25,Active,No
CUS-1212,Pro,2025-03-30,Americas,9,109.58,Active,No
CUS-3690,Basic,2025-09-10,APAC,3,48.46,Active,No
CUS-2950,Enterprise,2025-03-18,APAC,0,612.84,Churned,No
CUS-2363,Pro,2025-02-04,Americas,11,113.66,Active,No
CUS-3152,Basic,2023-04-14,Americas,33,28.84,Active,No
CUS-3154,Pro,2023-10-08,EMEA,27,145.32,Active,No
CUS-1568,Basic,2024-08-03,EMEA,17,40.49,Churned,Yes
CUS-3207,Pro,2023-02-24,Americas,34,150.0,Active,No
CUS-3094,Basic,2024-03-12,EMEA,21,25.11,Churned,Yes
CUS-2711,Pro,2025-06-01,Americas,7,128.76,Active,No
CUS-2264,Enterprise,2025-07-02,EMEA,6,696.15,Active,No
CUS-3124,Basic,2024-10-01,EMEA,15,33.05,Churned,No
CUS-1799,Pro,2024-05-17,APAC,19,150.0,Active,No
CUS-1081,Pro,2023-10-13,APAC,27,122.58,Active,No
CUS-1033,Basic,2023-11-30,APAC,25,31.38,Active,No
CUS-1415,Basic,2024-01-03,,24,30.69,Active,No
CUS-2805,Pro,2025-06-22,APAC,6,86.99,Active,No
CUS-3214,Basic,2025-10-20,Americas,2,30.72,Churned,Yes
CUS-2322,Basic,2024-10-11,,14,35.08,Active,No
CUS-2568,Basic,2023-02-02,EMEA,35,32.38,Active,No
CUS-1784,Pro,2023-10-20,,26,88.73,Active,No
CUS-3992,Pro,2025-03-24,EMEA,9,108.76,Active,No
CUS-2413,Pro,2025-04-14,EMEA,8,104.65,Churned,Yes
CUS-1458,Basic,2025-10-15,APAC,2,41.25,Churned,Yes
CUS-1140,Basic,2024-04-05,APAC,21,39.81,Active,No
CUS-3231,Basic,2025-06-18,APAC,6,24.6,Churned,No
CUS-2026,Basic,2025-11-06,Americas,1,33.76,Active,No
CUS-1089,Basic,2024-10-25,EMEA,14,28.77,Active,No
CUS-2443,Basic,2025-09-01,APAC,4,32.65,Active,No
CUS-2832,Enterprise,2024-01-28,APAC,23,348.62,Active,No
CUS-3577,Pro,2025-12-11,EMEA,0,130.4,Active,No
CUS-1255,Basic,2023-02-28,EMEA,34,40.2,Active,No
CUS-1606,Pro,2023-01-17,APAC,35,96.37,Active,No
CUS-2045,Basic,2024-07-12,APAC,17,50.0,Active,No
CUS-1569,Basic,2025-07-31,APAC,5,29.69,Active,No
CUS-2733,Pro,2024-02-08,EMEA,23,104.82,Active,No
CUS-3543,Basic,2024-12-19,EMEA,12,50.0,Active,No
CUS-1858,Enterprise,2024-06-15,APAC,18,1935.71,Active,No
CUS-3473,Pro,2025-11-29,Americas,1,98.54,Active,No
CUS-1818,Basic,2023-12-21,Americas,24,38.14,Active,No
CUS-3031,Basic,2023-01-26,EMEA,35,20.0,Active,No
CUS-2878,Basic,2025-02-02,APAC,11,33.6,Active,No
CUS-1142,Basic,2023-08-29,Americas,28,35.68,Active,No
CUS-1444,Basic,2024-03-07,EMEA,22,29.28,Active,No
CUS-2175,Basic,2025-06-01,APAC,7,38.44,Churned,Yes
CUS-1487,Basic,2025-02-05,Americas,10,42.14,Active,No
CUS-1882,Pro,2025-10-16,EMEA,2,150.0,Active,No
CUS-3565,Pro,2025-10-23,EMEA,2,109.21,Active,No
CUS-2085,Enterprise,2024-10-05,Americas,15,688.9,Active,No
CUS-2300,Basic,2025-03-10,EMEA,9,48.27,Active,No
CUS-1176,Basic,2023-02-07,EMEA,35,46.58,Active,No
CUS-2095,Pro,2023-10-02,APAC,27,150.0,Active,No
CUS-3701,Pro,2025-07-03,EMEA,6,107.68,Active,No
CUS-3847,Basic,2025-11-21,EMEA,1,35.28,Churned,Yes
CUS-2964,Basic,2023-11-29,,25,35.85,Active,No
CUS-3682,Enterprise,2024-03-17,EMEA,21,1132.81,Active,0
CUS-3098,Basic,2025-01-16,APAC,11,30.75,Active,No
CUS-3156,Enterprise,2023-01-31,Americas,35,397.28,Active,No
CUS-2557,Enterprise,2025-05-07,EMEA,7,2000.0,Active,0
CUS-2671,Basic,2023-07-29,APAC,29,32.37,Active,No
CUS-1178,Enterprise,2024-03-11,Americas,22,300.0,Active,No
CUS-2079,Pro,2023-07-29,,29,80.0,Active,No
CUS-1599,Enterprise,2025-11-14,EMEA,1,1026.8,Active,No
CUS-3191,Basic,2024-12-02,EMEA,13,36.58,Active,0
CUS-3532,Pro,2025-07-02,Americas,6,115.99,Active,0
CUS-3668,Basic,2025-09-20,Americas,3,29.73,Active,No
CUS-3787,Pro,2025-09-07,Americas,3,96.49,Active,No
CUS-1480,Basic,2024-11-17,EMEA,13,36.5,Active,No
CUS-2968,Pro,2024-02-22,EMEA,22,109.01,Active,No
CUS-2058,Basic,2025-11-16,EMEA,1,24.07,Active,No
CUS-3269,Pro,2025-10-01,EMEA,3,109.18,Active,No
CUS-1534,Pro,2023-07-03,APAC,30,132.47,Active,No
CUS-2104,Pro,2024-01-08,Americas,0,97.82,Churned,No
CUS-2107,Basic,2025-03-29,APAC,9,35.96,Active,No
CUS-3928,Pro,2025-07-29,Americas,5,111.78,Active,No
CUS-2124,Basic,2024-04-11,EMEA,20,27.54,Active,No
CUS-1943,Basic,2023-09-02,,28,35.96,Active,No
CUS-1163,Basic,2023-06-06,EMEA,31,50.0,Active,No
CUS-2552,Basic,2025-02-11,EMEA,10,42.17,Churned,Yes
CUS-1966,Basic,2023-04-27,EMEA,32,24.41,Active,No
CUS-1472,Basic,2024-06-03,APAC,19,25.55,Churned,Yes
CUS-1845,Basic,2025-11-21,Americas,1,33.57,Churned,Yes
CUS-1999,Enterprise,2024-02-07,EMEA,23,870.41,Churned,No
CUS-2905,Pro,2025-03-12,EMEA,9,115.35,Active,No
CUS-1031,Pro,2025-06-22,,6,124.86,Active,No
CUS-3891,Basic,2025-11-23,EMEA,1,50.0,Active,No
CUS-1424,Basic,2024-05-24,EMEA,19,31.53,Active,No
CUS-1512,Pro,2025-03-29,EMEA,9,129.75,Active,No
CUS-3759,Pro,2023-11-13,APAC,25,101.94,Active,No
CUS-3738,Basic,2025-02-26,APAC,10,41.65,Churned,Yes
CUS-2394,Basic,2025-02-10,APAC,10,24.69,Active,No
CUS-2587,Basic,2024-09-20,APAC,15,50.0,Active,No
CUS-2930,Basic,2024-01-03,Americas,24,38.06,Active,No
CUS-3498,Basic,2024-01-25,APAC,23,26.97,Active,No
CUS-1788,Basic,2023-06-05,Americas,31,30.07,Active,No
CUS-3637,Basic,2023-12-01,EMEA,25,35.02,Active,No
CUS-3539,Basic,2024-03-22,EMEA,21,38.49,Active,No
CUS-1403,Pro,2024-09-13,Americas,15,119.7,Active,No
CUS-1434,Pro,2023-11-17,APAC,25,147.47,Active,No
CUS-2152,Enterprise,2024-10-20,Americas,14,1252.4,Active,No
CUS-1074,Basic,2025-03-29,APAC,9,44.17,Churned,Yes
CUS-2537,Pro,2025-02-14,Americas,10,100.72,Active,No
CUS-3710,Pro,2025-01-16,APAC,11,135.19,Active,No
CUS-1622,Basic,2023-12-05,EMEA,25,39.5,Active,No
CUS-2438,Basic,2023-11-19,APAC,25,28.52,Active,No
CUS-2560,Enterprise,2025-03-23,Americas,9,406.78,Active,No
CUS-2567,Basic,2025-04-09,APAC,8,50.0,Churned,Yes
CUS-1325,Pro,2024-12-29,Americas,12,132.74,Active,No
CUS-1333,Pro,2023-02-18,APAC,34,113.51,Active,No
CUS-2393,Basic,2024-09-22,Americas,15,31.69,Active,No
CUS-1651,Basic,2024-01-12,EMEA,23,35.72,Active,No
CUS-3237,Basic,2023-08-28,APAC,28,37.64,Active,No
CUS-2534,Pro,2024-07-26,Americas,17,98.47,Active,No
CUS-3164,Basic,2024-05-27,Americas,19,20.0,Active,No
CUS-1544,Enterprise,2023-10-07,,27,710.34,Active,No
CUS-3959,Basic,2025-02-11,APAC,10,46.87,Active,No
CUS-2819,Basic,2024-10-21,Americas,14,50.0,Active,No
CUS-2625,Basic,2023-05-03,Americas,32,22.1,Active,No
CUS-2178,Basic,2025-12-27,EMEA,0,34.57,Churned,Yes
CUS-1680,Basic,2023-03-23,APAC,33,31.97,Active,No
CUS-3097,Basic,2025-03-13,APAC,9,38.14,Active,No
CUS-3030,Pro,2023-01-08,APAC,36,95.44,Active,No
CUS-2660,Basic,2023-07-24,EMEA,29,31.19,Active,No
CUS-2638,Enterprise,2025-03-04,EMEA,10,439.1,Active,No
CUS-1240,Basic,2024-02-01,EMEA,23,31.96,Active,No
CUS-3125,Basic,2024-10-03,Americas,15,29.19,Active,No
CUS-3620,Enterprise,2023-03-13,APAC,34,437.97,Active,No
CUS-3291,Enterprise,2024-02-16,APAC,22,1697.7,Active,No
CUS-1765,Enterprise,2023-03-12,EMEA,34,710.3,Active,No
CUS-2129,Pro,2025-06-18,EMEA,6,91.03,Active,No
CUS-2886,Basic,2025-07-18,EMEA,5,26.5,Churned,Yes
CUS-2117,Basic,2024-12-19,EMEA,12,47.4,Active,No
CUS-2103,Pro,2024-11-11,APAC,13,80.0,Active,No
CUS-3848,Basic,2023-10-16,EMEA,26,40.8,Active,No
CUS-3331,Pro,2025-05-02,Americas,8,150.0,Active,No
CUS-2362,Basic,2024-10-21,APAC,14,-31.02,Active,No
CUS-3317,Basic,2023-02-13,APAC,35,25.0,Active,No
CUS-2408,Basic,2024-03-04,Americas,22,23.99,Active,No
CUS-3530,Pro,2025-06-17,EMEA,6,150.0,Active,No
CUS-1344,Pro,2023-05-14,EMEA,32,142.41,Active,No
CUS-2106,Pro,2023-04-26,EMEA,32,88.36,Active,No
CUS-3593,Pro,2024-11-20,APAC,13,144.73,Active,No
CUS-1558,Basic,2025-10-24,APAC,2,50.0,Churned,Yes
CUS-2476,Basic,2025-02-17,APAC,10,29.65,Active,No
CUS-3704,Pro,2025-05-05,EMEA,8,96.7,Active,No
CUS-1595,Basic,2023-02-27,APAC,34,50.0,Active,No
CUS-2558,Basic,2025-03-12,Americas,9,36.95,Active,No
CUS-1412,Pro,2023-06-21,APAC,30,150.0,Active,No
CUS-2056,Pro,2025-08-01,APAC,5,97.43,Churned,Yes
CUS-3474,Basic,2023-09-11,APAC,28,32.32,Active,No
CUS-1109,Basic,2023-09-08,,28,50.0,Active,No
CUS-3026,Basic,2024-12-01,EMEA,13,35.56,Active,No
CUS-3707,Enterprise,2025-10-22,EMEA,2,300.0,Churned,1
CUS-1319,Basic,2023-04-10,Americas,33,30.81,Active,No
CUS-3719,Basic,2023-04-10,APAC,33,48.83,Active,No
CUS-1841,Basic,2025-02-04,APAC,11,48.4,Churned,Yes
CUS-3958,Basic,2023-03-14,APAC,34,50.0,Active,No
CUS-2352,Pro,2023-03-05,APAC,34,127.18,Active,No
CUS-3826,Pro,2023-07-03,APAC,30,118.52,Active,No
CUS-3367,Basic,2024-05-12,APAC,19,21.8,Active,No
CUS-2883,Basic,2024-12-30,EMEA,12,20.0,Active,No
CUS-1681,Basic,2025-04-16,APAC,8,30.35,Churned,Yes
CUS-1730,Basic,2025-05-27,EMEA,7,50.0,Active,No
CUS-1790,Pro,2025-03-19,APAC,9,111.89,Churned,Yes
CUS-2814,Basic,2025-11-23,EMEA,1,28.89,Churned,Yes
CUS-2346,Pro,2025-11-16,EMEA,1,87.43,Active,No
CUS-2869,Basic,2024-06-21,Americas,18,35.82,Churned,Yes
CUS-3070,Basic,2024-09-05,EMEA,16,38.79,Active,0
CUS-1433,Pro,2025-12-21,APAC,0,98.04,Churned,Yes
CUS-1565,Pro,2025-12-24,Americas,0,150.0,Active,No
CUS-2749,Basic,2025-08-05,,4,28.31,Churned,Yes
CUS-2777,Pro,2024-06-24,Americas,18,129.94,Active,No
CUS-1071,Basic,2023-01-12,EMEA,36,31.66,Active,No
CUS-2789,Enterprise,2023-06-07,EMEA,31,678.41,Active,No
CUS-2230,Basic,2023-11-30,APAC,25,25.67,Active,No
CUS-2513,Pro,2025-09-11,Americas,3,109.79,Active,No
CUS-1057,Basic,2025-01-18,APAC,11,47.99,Churned,Yes
CUS-2602,Basic,2025-10-13,EMEA,2,36.21,Active,No
CUS-1652,Enterprise,2023-10-06,EMEA,27,639.23,Active,No
CUS-3177,Basic,2023-09-04,EMEA,28,24.83,Active,No
CUS-1898,Basic,2024-04-21,Americas,20,22.34,Active,No
CUS-1786,Basic,2025-10-10,APAC,2,45.77,Churned,Yes
CUS-1310,Basic,2023-03-14,APAC,34,33.36,Active,No
CUS-3405,Pro,2024-10-28,,14,116.1,Active,No
CUS-2742,Basic,2023-10-22,EMEA,26,26.95,Active,No
CUS-1908,Basic,2025-09-09,EMEA,3,22.79,Churned,Yes
CUS-1603,Enterprise,2024-08-30,EMEA,16,849.34,Active,No
CUS-2179,Basic,2025-02-10,Americas,10,49.66,Active,No
CUS-3298,Basic,2023-11-22,APAC,25,44.04,Churned,Yes
CUS-2746,Pro,2023-02-13,EMEA,35,85.25,Active,No
CUS-2162,Pro,2023-12-26,APAC,24,115.0,Active,No
CUS-2510,Pro,2024-02-13,APAC,22,108.65,Active,No
CUS-3096,Basic,2024-10-11,EMEA,14,24.51,Active,0
CUS-2578,Pro,2023-03-24,EMEA,33,104.18,Active,No
CUS-1573,Basic,2024-01-25,APAC,23,29.69,Active,No
CUS-1555,Basic,2024-01-21,Americas,23,29.95,Active,No
CUS-1946,Basic,2025-09-30,APAC,3,26.38,Churned,Yes
CUS-3997,Pro,2024-11-17,APAC,13,124.33,Active,No
CUS-1875,Pro,2025-12-27,EMEA,0,80.0,Churned,Yes
CUS-3995,Pro,2024-11-22,Americas,13,87.18,Active,No
CUS-2570,Basic,2024-11-20,APAC,13,49.7,Active,No
CUS-3669,Pro,2025-02-16,Americas,10,101.12,Active,No
CUS-3628,Basic,2025-05-20,Americas,7,39.84,Churned,Yes
CUS-2554,Basic,2025-02-12,Americas,10,50.0,Active,No
CUS-1121,Pro,2023-07-23,APAC,29,90.35,Active,No
CUS-3660,Basic,2025-04-13,,8,31.42,Active,No
CUS-1810,Enterprise,2025-06-06,Americas,6,526.73,Active,No
CUS-3187,Pro,2023-01-16,Americas,36,130.23,Active,No
CUS-2619,Enterprise,2024-06-26,EMEA,18,1634.01,Active,No
